code	occupation	gender	conversations	birth-region	age-range	study-level	L1
PKP001	student	F	KPS006;KPS005	basilicata	21-25	university-degree-ongoing	italian
PKP003	student	M	KPS005;KPS006	basilicata	16-20	university-degree-ongoing	italian
PKP004	intellectual	F	KPS005;KPS006	puglia	51-55	tecnical-workhnical-vocational-diploma	italian
PKP005	office-work	M	KPS005;KPS006	basilicata	56-60	liceo-diploma	italian
PKP006	intellectual	F	KPS006	basilicata	81-85	university-degree	italian
PKP007	intellectual	F	KPN001	piemonte	26-30	phd	italian
PKP008	retired	F	KPN020	veneto	56-60	middle-school	italian
PKP009	intellectual	F	KPN019	veneto	56-60	university-degree	italian
PKP010	office-work	F	KPS003	abruzzo	51-55	university-degree	italian
PKP011	student	M	KPN002	estero	21-25	university-degree-ongoing	other
PKP012	N/A	F	KPN002	veneto	21-25	N/A	italian
PKP013	student	F	KPN003;KPN004;KPN005;KPN007	emilia-romagna	21-25	university-degree-ongoing	italian
PKP014	unemployed	F	KPN003;KPN005;KPN006	emilia-romagna	21-25	university-degree	italian
PKP015	tecnical-work	F	KPN003;KPN005	emilia-romagna	21-25	university-degree	italian
PKP016	office-work	F	KPN004;KPN007	emilia-romagna	51-55	tecnical-workhnical-vocational-diploma	italian
PKP017	office-work	M	KPN004;KPN007	emilia-romagna	51-55	phd	italian
PKP018	tecnical-work	F	KPN005	emilia-romagna	51-55	tecnical-workhnical-vocational-diploma	italian
PKP019	retired	M	KPN006	emilia-romagna	81-85	elementary-school	italian
PKP020	student	M	KPN006	emilia-romagna	16-20	university-degree-ongoing	italian
PKP021	tecnical-work	M	KPN006	emilia-romagna	51-55	tecnical-workhnical-vocational-diploma	italian
PKP022	retired	F	KPN007	emilia-romagna	76-80	tecnical-workhnical-vocational-diploma	italian
PKP023	student	M	KPN009	sicilia	16-20	university-degree-ongoing	italian
PKP024	student	F	KPC003;KPN010	toscana	21-25	university-degree-ongoing	italian
PKP025	student	F	KPC001	marche	21-25	university-degree-ongoing	italian
PKP026	office-work	F	KPC001	marche	51-55	tecnical-workhnical-vocational-diploma	italian
PKP027	office-work	M	KPC004	lazio	26-30	university-degree	italian
