token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PKP069	0	0	0	sul	sul	_	_	_	_	_	linguistic	_	none	_	Begin=0.0	_	_	_	_
0-1	PKP069	0	0	1	lago	lago	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-2	PKP069	0	0	2	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-3	PKP069	0	0	3	garda	garda	_	_	_	_	_	linguistic	_	none	_	End=0.98	_	_	_	_
1-0	PKP063	1	1	0	bello	bello	_	_	_	_	_	linguistic	_	none	_	Begin=1.09|End=1.939	_	_	_	_
2-0	PKP069	2	2	0	bellissimo	bellissimo	_	_	_	_	_	linguistic	_	none	_	Begin=2.45	_	_	_	_
2-1	PKP069	2	2	1	con	con	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-2	PKP069	2	2	2	le	le	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-3	PKP069	2	2	3	mie:	mie	_	_	_	_	_	linguistic	_	none	_	_	2x1	_	_	_
2-4	PKP069	2	2	4	e::h	eh	_	_	_	_	_	linguistic	_	none	_	_	0x2	_	_	_
2-5	PKP069	2	2	5	con	con	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-6	PKP069	2	2	6	due	due	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-7	PKP069	2	2	7	mie:	mie	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	2x1	_	_	_
2-8	PKP069	2	2	8	{P}	{P}	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
2-9	PKP069	2	2	9	carissime	carissime	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-10	PKP069	2	2	10	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-11	PKP069	2	2	11	vecchissime	vecchissime	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-12	PKP069	2	2	12	a[miche	amiche	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	1-6(0)
2-13	PKP069	2	2	13	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-3(0)
2-14	PKP069	2	2	14	erano	erano	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-5(0)
2-15	PKP069	2	2	15	le]	le	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(0)
2-16	PKP069	2	2	16	mie	mie	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-17	PKP069	2	2	17	coinquiline	coinquiline	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-18	PKP069	2	2	18	all'	all'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
2-19	PKP069	2	2	19	università	università	_	_	_	_	_	linguistic	_	none	_	End=10.69	_	_	_	_
3-0	PKP063	3	3	0	[grazie]	grazie	_	_	_	_	_	linguistic	_	none	_	Begin=8.59|End=9.181	_	_	_	0-6(0)
4-0	PKP063	4	4	0	da:~	da~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	Begin=10.68	1x1	_	_	_
4-1	PKP063	4	4	1	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-2	PKP063	4	4	2	trieste	trieste	_	_	_	_	_	linguistic	_	none	_	End=11.971	_	_	_	_
5-0	PKP069	5	5	0	a	a	_	_	_	_	_	linguistic	_	none	_	Begin=11.985	_	_	_	_
5-1	PKP069	5	5	1	gori[zia	gorizia	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	4-7(2)
5-2	PKP069	5	5	2	{P}	{P}	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	0-3(2)
5-3	PKP069	5	5	3	esattam]ente	esattamente	_	_	_	_	_	linguistic	_	none	_	End=13.74	_	_	_	0-7(2)
6-0	PKP063	6	6	0	[a:h	ah	_	_	_	_	_	linguistic	_	none	_	Begin=12.622	0x1	_	_	0-2(2)
6-1	PKP063	6	6	1	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-1(2)
6-2	PKP063	6	6	2	gorizia]	gorizia	_	_	_	_	_	linguistic	_	none	_	End=13.441	_	_	_	0-7(2)
7-0	PKP069	7	7	0	e	e	_	_	_	_	_	linguistic	_	none	_	Begin=14.48	_	_	_	_
7-1	PKP069	7	7	1	praticamente	praticamente	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-2	PKP069	7	7	2	loro	loro	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-3	PKP069	7	7	3	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-4	PKP069	7	7	4	queste	queste	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-5	PKP069	7	7	5	due	due	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-6	PKP069	7	7	6	monica	monica	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-7	PKP069	7	7	7	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-8	PKP069	7	7	8	beatrice	beatrice	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-9	PKP069	7	7	9	si	si	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-10	PKP069	7	7	10	chiamano,	chiamano	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	_	_	_	_	_
7-11	PKP069	7	7	11	no,	no	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	_	_	_	_	_
7-12	PKP069	7	7	12	una	una	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-13	PKP069	7	7	13	vive	vive	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-14	PKP069	7	7	14	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-15	PKP069	7	7	15	milano	milano	_	_	_	_	_	linguistic	_	none	_	End=20.602	_	_	_	_
8-0	PKP063	8	8	0	mhmh	mhmh	_	_	_	_	_	linguistic	_	none	_	Begin=20.602|End=20.991	_	_	_	_
9-0	PKP069	9	9	0	eh	eh	_	_	_	_	_	linguistic	_	none	_	Begin=20.991	_	_	_	_
9-1	PKP069	9	9	1	vabbè	vabbè	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-2	PKP069	9	9	2	più	più	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-3	PKP069	9	9	3	o	o	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-4	PKP069	9	9	4	meno	meno	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-5	PKP069	9	9	5	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-6	PKP069	9	9	6	facile	facile	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-7	PKP069	9	9	7	l'	l'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
9-8	PKP069	9	9	8	altra	altra	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-9	PKP069	9	9	9	vive	vive	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-10	PKP069	9	9	10	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-11	PKP069	9	9	11	washington	washington	_	_	_	_	_	linguistic	_	none	_	End=23.595	_	_	_	_
10-0	PKP063	10	10	0	a:h	ah	_	_	_	_	_	linguistic	_	none	_	Begin=23.621|End=24.14	0x1	_	_	_
11-0	PKP069	11	11	0	quindi	quindi	_	_	_	_	_	linguistic	_	none	_	Begin=24.14	_	_	_	_
11-1	PKP069	11	11	1	riusciamo	riusciamo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-2	PKP069	11	11	2	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-3	PKP069	11	11	3	vederci	vederci	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-4	PKP069	11	11	4	tutte	tutte	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-5	PKP069	11	11	5	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-6	PKP069	11	11	6	tre	tre	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-7	PKP069	11	11	7	ogni:	ogni	_	_	_	_	_	linguistic	_	none	_	End=26.246	3x1	_	_	_
12-0	PKP069	12	12	0	ci[nque:	cinque	_	_	_	_	_	linguistic	_	none	_	Begin=27.15	5x1	_	_	2-6(3)
12-1	PKP069	12	12	1	se~	se~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	0-3(3)
12-2	PKP069	12	12	2	se]i	sei	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(3)
12-3	PKP069	12	12	3	anni	anni	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-4	PKP069	12	12	4	{ride}	{ride}	_	_	_	_	_	nonverbalbehavior	_	none	_	_	_	_	_	_
12-5	PKP069	12	12	5	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-6	PKP069	12	12	6	solito	solito	_	_	_	_	_	linguistic	_	none	_	End=30.27	_	_	_	_
13-0	PKP063	13	13	0	[sei	sei	_	_	_	_	_	linguistic	_	none	_	Begin=27.649	_	_	_	0-3(3)
13-1	PKP063	13	13	1	anni]	anni	_	_	_	_	_	linguistic	_	none	_	End=28.65	_	_	_	0-4(3)
14-0	PKP069	14	14	0	però	però	_	_	_	_	_	linguistic	_	none	_	Begin=30.27	_	_	_	_
14-1	PKP069	14	14	1	quest'	quest'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
14-2	PKP069	14	14	2	anno	anno	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
14-3	PKP069	14	14	3	[con	con	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-3(4)
14-4	PKP069	14	14	4	i:l	il	_	_	_	_	_	linguistic	_	none	_	_	0x1	_	_	0-2(4)
14-5	PKP069	14	14	5	buo]n	buon	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-3(4)
14-6	PKP069	14	14	6	appetito	appetito	_	_	_	_	_	linguistic	_	none	_	End=33.25	_	_	_	_
15-0	PKP063	15	15	0	[buon	buon	_	_	_	_	_	linguistic	_	none	_	Begin=31.449	_	_	_	0-4(4)
15-1	PKP063	15	15	1	appetito]	appetito	_	_	_	_	_	linguistic	_	none	_	End=32.473	_	_	_	0-8(4)
16-0	PKP069	16	16	0	quest'	quest'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	Begin=33.44	_	_	_	_
16-1	PKP069	16	16	1	anno	anno	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-2	PKP069	16	16	2	con	con	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-3	PKP069	16	16	3	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-4	PKP069	16	16	4	co~	co~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
16-5	PKP069	16	16	5	con	con	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-6	PKP069	16	16	6	il	il	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-7	PKP069	16	16	7	f~	f~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
16-8	PKP069	16	16	8	con	con	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-9	PKP069	16	16	9	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-10	PKP069	16	16	10	questione	questione	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
