token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PKP136	0	avviata,	avviata	linguistic	none	Intonation=WeaklyRising	Begin=0.49	_	_	_	_
0-1	PKP136	0	ok	ok	linguistic	none	_	End=2.214	_	_	_	_
1-0	PKP136	1	perfetto	perfetto	linguistic	none	_	Begin=2.856	_	_	_	_
1-1	PKP136	1	[bene	bene	linguistic	none	_	_	_	_	_	0-4(0)
1-2	PKP136	1	allora	allora	linguistic	none	_	_	_	_	_	0-6(0)
1-3	PKP136	1	buon]	buon	linguistic	none	_	_	_	_	_	0-4(0)
1-4	PKP136	1	appeti[to]	appetito	linguistic	none	_	End=5.065	_	_	_	6-8(1)
2-0	PKP141	2	[bene	bene	linguistic	none	_	Begin=3.371	_	_	_	0-4(0)
2-1	PKP141	2	buon	buon	linguistic	none	_	_	_	_	_	0-4(0)
2-2	PKP141	2	appetito]	appetito	linguistic	none	_	End=4.5	_	_	_	0-8(0)
3-0	PKP142	3	[buon	buon	linguistic	none	_	Begin=4.829	_	_	_	0-4(1)
3-1	PKP142	3	a]ppe(tito)	appetito	linguistic	none	_	End=5.718	_	_	4-8(0)	0-1(1)
4-0	PKP142	4	franca,	franca	linguistic	none	Intonation=WeaklyRising	Begin=6.732|End=7.417	_	_	_	_
5-0	PKP141	5	ah	ah	linguistic	none	_	Begin=7.883	_	_	_	_
5-1	PKP141	5	sono	sono	linguistic	none	_	_	_	_	_	_
5-2	PKP141	5	(io)	io	linguistic	none	_	End=9.286	_	_	0-2(0)	_
6-0	PKP141	6	che	che	linguistic	none	_	Begin=10.198	_	_	_	_
6-1	PKP141	6	devo	devo	linguistic	none	_	_	_	_	_	_
6-2	PKP141	6	fare?	fare	linguistic	none	Intonation=Rising	End=11.185	_	_	_	_
7-0	PKP136	7	no:	no	linguistic	none	_	Begin=11.59	1x1	_	_	_
7-1	PKP136	7	d'	d'	linguistic	none	SpaceAfter=No	_	_	_	_	_
7-2	PKP136	7	ì	ì	linguistic	none	_	_	_	_	_	_
7-3	PKP136	7	ti	ti	linguistic	none	_	_	_	_	_	_
7-4	PKP136	7	è	è	linguistic	none	_	_	_	_	_	_
7-5	PKP136	7	scoppiato	scoppiato	linguistic	none	_	_	_	_	_	_
7-6	PKP136	7	il	il	linguistic	none	_	_	_	_	_	_
7-7	PKP136	7	motore	motore	linguistic	none	_	End=13.54	_	_	_	_
8-0	PKP136	8	[io	io	linguistic	none	_	Begin=13.54	_	_	_	0-2(2)
8-1	PKP136	8	ho	ho	linguistic	none	_	_	_	_	_	0-2(2)
8-2	PKP136	8	ca]pito	capito	linguistic	none	_	_	_	_	_	0-2(2)
8-3	PKP136	8	molto	molto	linguistic	none	_	_	_	_	_	_
8-4	PKP136	8	poco	poco	linguistic	none	_	_	_	_	_	_
8-5	PKP136	8	in	in	linguistic	none	_	_	_	_	_	_
8-6	PKP136	8	realtà	realtà	linguistic	none	_	_	_	_	_	_
