token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PKP103	0	eccole	eccole	linguistic	none	_	Begin=0.0|End=0.59	_	_	_	_
1-0	PKP101	1	mozzarelline	mozzarelline	linguistic	none	_	Begin=0.87	_	_	_	_
1-1	PKP101	1	panate	panate	linguistic	none	_	End=1.92	_	_	_	_
2-0	PKP103	2	buo:ne	buone	linguistic	none	_	Begin=1.92	2x1	_	_	_
2-1	PKP103	2	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
2-2	PKP103	2	okay	okay	linguistic	none	_	End=2.79	_	_	_	_
3-0	PKP101	3	e	e	linguistic	none	_	Begin=2.9	_	_	_	_
3-1	PKP101	3	le:	le	linguistic	none	_	_	1x1	_	_	_
3-2	PKP101	3	le:	le	linguistic	none	_	_	1x1	_	_	_
3-3	PKP101	3	le	le	linguistic	none	_	_	_	_	_	_
3-4	PKP101	3	olive	olive	linguistic	none	_	_	_	_	_	_
3-5	PKP101	3	ascolane	ascolane	linguistic	none	_	End=4.37	_	_	_	_
4-0	PKP103	4	mhmh	mhmh	linguistic	none	_	Begin=4.57|End=4.93	_	_	_	_
5-0	PKP101	5	e	e	linguistic	none	_	Begin=5.35	_	_	_	_
5-1	PKP101	5	poi	poi	linguistic	none	_	_	_	_	_	_
5-2	PKP101	5	ci	ci	linguistic	none	_	_	_	_	_	_
5-3	PKP101	5	sono	sono	linguistic	none	_	_	_	_	_	_
5-4	PKP101	5	le:	le	linguistic	none	_	End=6.42	1x1	_	_	_
6-0	PKP101	6	mh	mh	linguistic	none	_	Begin=6.64	_	_	_	_
6-1	PKP101	6	quelle	quelle	linguistic	none	_	_	_	_	_	_
6-2	PKP101	6	là	là	linguistic	none	_	_	_	_	_	_
6-3	PKP101	6	delle:	delle	linguistic	none	_	_	4x1	_	_	_
6-4	PKP101	6	le	le	linguistic	none	_	_	_	_	_	_
6-5	PKP101	6	frittelle	frittelle	linguistic	none	_	_	_	_	_	_
6-6	PKP101	6	alle	alle	linguistic	none	_	_	_	_	_	_
6-7	PKP101	6	alghe	alghe	linguistic	none	_	_	_	_	_	_
6-8	PKP101	6	le	le	linguistic	none	_	_	_	_	_	_
6-9	PKP101	6	cose	cose	linguistic	none	_	_	_	_	_	_
6-10	PKP101	6	alle	alle	linguistic	none	_	_	_	_	_	_
6-11	PKP101	6	alghe	alghe	linguistic	none	_	_	_	_	_	_
6-12	PKP101	6	e	e	linguistic	none	_	_	_	_	_	_
6-13	PKP101	6	le	le	linguistic	none	_	_	_	_	_	_
6-14	PKP101	6	cose	cose	linguistic	none	_	_	_	_	_	_
6-15	PKP101	6	a:l	al	linguistic	none	_	_	0x1	_	_	_
6-16	PKP101	6	baccalà	baccalà	linguistic	none	_	End=10.26	_	_	_	_
7-0	PKP103	7	frittelle	frittelle	linguistic	none	_	Begin=10.79	_	_	_	_
7-1	PKP103	7	alle	alle	linguistic	none	_	_	_	_	_	_
7-2	PKP103	7	alghe	alghe	linguistic	none	_	End=11.59	_	_	_	_
