token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PKP052	0	0	0	((ride))	((ride))	_	_	_	_	_	nonverbalbehavior	_	none	_	Begin=3.01|End=5.0	_	_	_	_
1-0	PKP043	1	1	0	>quanto	quanto	_	_	_	_	_	linguistic	_	none	_	Begin=11.0	_	Fast=0-6(0)	_	_
1-1	PKP043	1	1	1	ci	ci	_	_	_	_	_	linguistic	_	none	_	_	_	Fast=0-2(0)	_	_
1-2	PKP043	1	1	2	metton~	metton~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	Fast=0-7(0)	_	_
1-3	PKP043	1	1	3	le	le	_	_	_	_	_	linguistic	_	none	_	_	_	Fast=0-2(0)	_	_
1-4	PKP043	1	1	4	cose	cose	_	_	_	_	_	linguistic	_	none	_	_	_	Fast=0-4(0)	_	_
1-5	PKP043	1	1	5	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	Fast=0-1(0)	_	_
1-6	PKP043	1	1	6	cuocersi<	cuocersi	_	_	_	_	_	linguistic	_	none	_	End=12.42	_	Fast=0-8(0)	_	_
2-0	PKP052	2	2	0	cosa	cosa	_	_	_	_	_	linguistic	_	none	_	Begin=13.005|End=13.505	_	_	_	_
3-0	PKP043	3	3	0	>e:	e	_	_	_	_	_	linguistic	_	none	_	Begin=13.715	0x1	Fast=0-1(0)	_	_
3-1	PKP043	3	3	1	i	i	_	_	_	_	_	linguistic	_	none	_	_	_	Fast=0-1(0)	_	_
3-2	PKP043	3	3	2	cosi	cosi	_	_	_	_	_	linguistic	_	none	_	_	_	Fast=0-4(0)	_	_
3-3	PKP043	3	3	3	a:	a	_	_	_	_	_	linguistic	_	none	_	_	0x1	Fast=0-1(0)	_	_
3-4	PKP043	3	3	4	vegetariani<	vegetariani	_	_	_	_	_	linguistic	_	none	_	End=16.225	_	Fast=0-11(0)	_	_
4-0	PKP052	4	4	0	poco	poco	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	Begin=16.99	_	_	_	_
4-1	PKP052	4	4	1	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
4-2	PKP052	4	4	2	se	se	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-3	PKP052	4	4	3	mi	mi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-4	PKP052	4	4	4	stai	stai	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-5	PKP052	4	4	5	facendo	facendo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-6	PKP052	4	4	6	xxx	xxx	_	_	_	_	_	unknown	_	none	Syllables=3	End=18.97	_	_	_	_
5-0	PKP053	5	5	0	cosi	cosi	_	_	_	_	_	linguistic	_	none	_	Begin=18.725	_	_	_	_
5-1	PKP053	5	5	1	con	con	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-2	PKP053	5	5	2	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-3	PKP053	5	5	3	cipolla	cipolla	_	_	_	_	_	linguistic	_	none	_	End=20.594	_	_	_	_
6-0	PKP043	6	6	0	spero	spero	_	_	_	_	_	linguistic	_	none	_	Begin=20.7	_	_	_	_
6-1	PKP043	6	6	1	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-2	PKP043	6	6	2	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-3	PKP043	6	6	3	ci	ci	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-4	PKP043	6	6	4	sia	sia	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-5	PKP043	6	6	5	cipolla	cipolla	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-6	PKP043	6	6	6	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-7	PKP043	6	6	7	se	se	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-8	PKP043	6	6	8	no:	no	_	_	_	_	_	linguistic	_	none	_	End=22.212	1x1	_	_	_
7-0	PKP053	7	7	0	che	che	_	_	_	_	_	linguistic	_	none	_	Begin=22.212	_	_	_	_
7-1	PKP053	7	7	1	sentivo	sentivo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-2	PKP053	7	7	2	una	una	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-3	PKP053	7	7	3	puzza	puzza	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-4	PKP053	7	7	4	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-5	PKP053	7	7	5	no:	no	_	_	_	_	_	linguistic	_	none	_	End=24.096	1x1	_	_	_
8-0	PKP052	8	8	0	[noo:	noo	_	_	_	_	_	linguistic	_	none	_	Begin=24.004	2x1	_	_	0-3(81)
8-1	PKP052	8	8	1	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-1(81)
8-2	PKP052	8	8	2	un	un	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(81)
8-3	PKP052	8	8	3	sugo	sugo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-4(81)
8-4	PKP052	8	8	4	mio]	mio	_	_	_	_	_	linguistic	_	none	_	End=26.034	_	_	_	0-3(81)
9-0	PKP043	9	9	0	[noo:	noo	_	_	_	_	_	linguistic	_	none	_	Begin=24.004	2x1	_	_	0-3(81)
9-1	PKP043	9	9	1	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-1(81)
9-2	PKP043	9	9	2	un	un	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(81)
9-3	PKP043	9	9	3	(sugo)della	sugodella	_	_	_	_	_	linguistic	_	none	_	_	_	_	0-4(0)	0-9(81)
9-4	PKP043	9	9	4	mamma]	mamma	_	_	_	_	_	linguistic	_	none	_	End=26.034	_	_	_	0-5(81)
10-0	PKP053	10	10	0	u:hm	uhm	_	_	_	_	_	linguistic	_	none	_	Begin=26.114	0x1	_	_	_
10-1	PKP053	10	10	1	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-2	PKP053	10	10	2	cos'	cos'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
10-3	PKP053	10	10	3	è	è	_	_	_	_	_	linguistic	_	none	_	End=27.168	_	_	_	_
11-0	PKP052	11	11	0	[minestrone]	minestrone	_	_	_	_	_	linguistic	_	none	_	Begin=27.712|End=28.702	_	_	_	0-10(3)
12-0	PKP043	12	12	0	[minestrone]	minestrone	_	_	_	_	_	linguistic	_	none	_	Begin=27.712|End=28.702	_	_	_	0-10(3)
13-0	PKP053	13	13	0	>tu	tu	_	_	_	_	_	linguistic	_	none	_	Begin=28.726	_	Fast=0-2(0)	_	_
13-1	PKP053	13	13	1	l'	l'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	Fast=0-2(0)	_	_
13-2	PKP053	13	13	2	hai	hai	_	_	_	_	_	linguistic	_	none	_	_	_	Fast=0-3(0)	_	_
13-3	PKP053	13	13	3	fatto<	fatto	_	_	_	_	_	linguistic	_	none	_	End=29.343	_	Fast=0-5(0)	_	_
14-0	PKP052	14	14	0	[no:	no	_	_	_	_	_	linguistic	_	none	_	Begin=29.343	1x1	_	_	0-2(4)
14-1	PKP052	14	14	1	surgelato]	surgelato	_	_	_	_	_	linguistic	_	none	_	End=31.595	_	_	_	0-9(4)
15-0	PKP043	15	15	0	[xxx	xxx	_	_	_	_	_	unknown	_	none	Syllables=3	Begin=29.343	_	_	_	0-3(4)
15-1	PKP043	15	15	1	surgelato]	surgelato	_	_	_	_	_	linguistic	_	none	_	End=31.595	_	_	_	0-9(4)
